song_id,valence_mean,arousal_mean,chroma_stft_mean,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,chroma_cqt_mean,chroma_cens_mean,melspectrogram_mean,tonnetz_mean,rhythm.tempogram_mean,mfcc_mean,onset_detect_mean,harmonic_mean,percussive_mean,rms_mean,zero_crossing_rate_mean,chroma_stft_std,spectral_centroid_std,spectral_bandwidth_std,spectral_rolloff_std,chroma_cqt_std,chroma_cens_std,melspectrogram_std,tonnetz_std,rhythm.tempogram_std,mfcc_std,onset_detect_std,harmonic_std,percussive_std,rms_std,zero_crossing_rate_std
2,3.1,3,0.48268744,1896.530629,2492.430013,3914.777375,0.43883044,0.231410453,2.2760608,-0.009657078,0.248807932,0.5413816,1889.320313,-6.85E-06,-2.00E-05,0.10526183,0.036466761,0.28502256,583.457652,561.0989504,1434.695084,0.276842,0.172576173,13.221278,0.072843129,0.275324995,62.10209,1140.245251,0.09224001,0.032364473,0.03267363,0.016079184
3,3.5,3.3,0.6641175,1046.941992,1931.185712,2184.462687,0.30942905,0.189844802,3.4280045,0.024344397,0.157213863,2.6742864,1964.237762,2.39E-05,-4.68E-05,0.116202824,0.013440385,0.23272163,683.6088083,882.7412755,1892.201921,0.29822466,0.217467893,37.277454,0.115164964,0.180796931,75.719574,1137.076308,0.120680936,0.022321168,0.06261877,0.01091051
4,5.7,5.5,0.46728843,1918.529284,2602.479569,3950.052114,0.47719324,0.251280502,7.4183908,0.007584014,0.219808782,3.3993447,2168.189189,1.26E-05,-2.31E-05,0.18491028,0.037331298,0.28666475,849.35438,892.0030053,2233.770797,0.2702115,0.142096595,45.01933,0.074299714,0.248788631,56.834312,1077.141699,0.15624441,0.06715209,0.07389468,0.021849294
5,4.4,5.3,0.38176283,1899.453063,2737.003562,3773.267791,0.46042198,0.242876738,4.6925707,-0.003486407,0.222131449,-6.542052,2113.929688,-6.87E-08,7.87E-06,0.1497523,0.036210857,0.29880401,828.9176734,725.5889476,2003.663179,0.27354375,0.156026356,24.15502,0.090967716,0.249290668,59.8991,1207.569901,0.13889539,0.036582783,0.046615638,0.025025975
7,5.8,6.4,0.553062,1268.665211,2234.473361,2818.902635,0.3398575,0.214628537,14.68781,0.007168458,0.147273362,5.4263544,2012.80456,-3.32E-05,-0.001212051,0.26715764,0.01284474,0.2757658,725.3773691,735.519163,2143.381376,0.2965322,0.193049021,99.46008,0.100978747,0.173842543,62.614296,1102.412392,0.25602952,0.041352198,0.05551946,0.012789104
8,3.2,4.8,0.516827,1504.154235,2142.156149,3201.973992,0.47546154,0.246182819,3.7519057,0.009758455,0.070870227,-0.3818298,1932.85625,1.76E-05,-2.70E-05,0.122693054,0.023837986,0.3068842,1807.448333,1640.182439,4464.176011,0.28057313,0.150755938,39.369846,0.077843701,0.116855145,87.04668,1121.280974,0.12669933,0.028522598,0.06389387,0.033067031
10,4,4.7,0.3313794,1789.586569,2326.021335,3700.532544,0.44451874,0.234265193,1.0052524,0.003012273,0.121814592,-4.1774864,1923.451777,1.31E-06,-1.01E-05,0.066276096,0.041558369,0.3232913,1188.377887,1246.751489,3067.711666,0.29001042,0.168680623,10.378681,0.085640988,0.149867176,81.01777,1141.670458,0.06489511,0.025077283,0.035464343,0.026929507
12,5.5,5.8,0.48928618,2460.074927,2986.271591,5382.840386,0.46058393,0.241792026,11.262935,0.026377635,0.1410686,1.6502573,1942.66474,-2.34E-06,1.11E-05,0.22829582,0.046375273,0.28949246,1542.263831,1166.817127,3555.607114,0.2868507,0.157702091,77.6692,0.08631287,0.163831069,54.563065,1135.869346,0.20846592,0.06842694,0.08236859,0.047366706
13,3.2,4,0.41572273,1929.764875,2885.974437,4010.473105,0.36290488,0.211503522,3.7880614,0.002406636,0.212343357,-3.4840422,1916.346939,1.59E-06,2.71E-06,0.13245535,0.031123464,0.31394213,1071.768689,809.3962665,2784.302877,0.29408073,0.196467792,24.291162,0.118332622,0.237136009,66.96106,1102.288841,0.13159582,0.027010748,0.04779983,0.028472766
17,4.4,6,0.46079406,2125.58472,2704.234215,4624.352442,0.48666644,0.2490749,9.449938,0.014951849,0.147945941,2.5067394,1973.900943,-0.000143448,0.000216401,0.2105341,0.039324502,0.2962951,929.4408364,865.7760027,2275.608919,0.2723849,0.145928159,61.355816,0.063652808,0.180890034,53.029594,1114.688625,0.18832089,0.0716776,0.0769463,0.024356804
